
## Torsion parameter: matched molecules ##
------------------------------------------------------------------------------------------
idx     ID      SMIRKS Pattern                                                         Number of molecules matched
0       t1      [*:1]-[#6X4:2]-[#6X4:3]-[*:4]                                          21
1       t2      [#6X4:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]                                    4
2       t3      [#1:1]-[#6X4:2]-[#6X4:3]-[#1:4]                                        126
3       t4      [#1:1]-[#6X4:2]-[#6X4:3]-[#6X4:4]                                      124
4       t5      [#8X2:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]                                    0
5       t6      [#9:1]-[#6X4:2]-[#6X4:3]-[#9:4]                                        4
6       t7      [#17:1]-[#6X4:2]-[#6X4:3]-[#17:4]                                      2
7       t8      [#35:1]-[#6X4:2]-[#6X4:3]-[#35:4]                                      2
8       t9      [#1:1]-[#6X4:2]-[#6X4:3]-[#8X2:4]                                      15
9       t10     [#1:1]-[#6X4:2]-[#6X4:3]-[#9:4]                                        4
10      t11     [#1:1]-[#6X4:2]-[#6X4:3]-[#17:4]                                       14
11      t12     [#1:1]-[#6X4:2]-[#6X4:3]-[#35:4]                                       2
12      t13     [*:1]-[#6X4:2]-[#6X4;r3:3]-[*:4]                                       3
13      t14     [*:1]-[#6X4:2]-[#6X4;r3:3]-[#6X4;r3:4]                                 12
14      t15     [*:1]-[#6X4;r3:2]-@[#6X4;r3:3]-[*:4]                                   45
15      t16     [#6X4;r3:1]-[#6X4;r3:2]-[#6X4;r3:3]-[*:4]                              0
16      t17     [*:1]~[#6X3:2]-[#6X4:3]-[*:4]                                          16
17      t20     [*:1]-[#6X4:2]-[#6X3:3]=[*:4]                                          24
18      t18     [#1:1]-[#6X4:2]-[#6X3:3]=[#8X1:4]                                      36
19      t19     [#1:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]                                      12
20      t21     [#6X3:1]-[#6X4:2]-[#6X3:3]=[#6X3:4]                                    2
21      t22     [#7X3:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]                                    6
22      t23     [#6X4:1]-[#6X4:2]-[#6X3:3]-[#7X3:4]                                    5
23      t24     [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#1:4]                     5
24      t25     [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X4,#7X3:4]              1
25      t26     [#16X2,#16X1-1,#16X3+1:1]-[#6X3:2]-[#6X4:3]-[#7X3$(*-[#6X3,#6X2]):4]   2
26      t27     [*:1]-[#6X4;r3:2]-[#6X3:3]~[*:4]                                       13
27      t28     [#6X4:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]                                 1
28      t29     [#1:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]                                   2
29      t30     [#6X3:1]-[#6X4;r3:2]-[#6X3:3]-[#7X3:4]                                 2
30      t31     [#6X3:1]-[#6X4;r3:2]-[#6X3:3]=[#8X1:4]                                 5
31      t32     [#6X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]                                 1
32      t33     [#7X3:1]-[#6X4;r3:2]-[#6X3:3]~[#6X3:4]                                 4
33      t34     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]~[#6X3:4]                            2
34      t35     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#6X3;r6:4]                      8
35      t36     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]-;@[#6X3;r5:4]                    4
36      t37     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r5:3]=;@[#6X3;r5:4]                    2
37      t38     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#6X4:4]                            2
38      t39     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3;r6:3]:[#7X2;r6:4]                      8
39      t40     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#7X2:4]                            2
40      t41     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]-[#8X2:4]                            6
41      t42     [#6X4;r3:1]-;@[#6X4;r3:2]-[#6X3:3]=[#8X1:4]                            10
42      t43     [*:1]~[#6X3:2]-[#6X3:3]~[*:4]                                          8
43      t44     [*:1]~[#6X3:2]:[#6X3:3]~[*:4]                                          256
44      t45     [*:1]-,:[#6X3:2]=[#6X3:3]-,:[*:4]                                      0
45      t46     [#6X4:1]-[#6X3:2]=[#6X3:3]-[#6X4:4]                                    0
46      t47     [*:1]~[#6X3:2]-[#6X3$(*=[#8,#16,#7]):3]~[*:4]                          24
47      t48     [#6X3:1]=[#6X3:2]-[#6X3:3]=[#8X1:4]                                    0
48      t49     [*:1]~[#7a:2]:[#6a:3]~[*:4]                                            2
49      t50     [*:1]-[#6X4:2]-[#7X4:3]-[*:4]                                          0
50      t51     [*:1]-[#6X4:2]-[#7X3:3]-[*:4]                                          9
51      t51a    [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]                                  0
52      t51ah   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#6]                                 0
53      t51b    [*:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]                           0
54      t51bh   [#1:1]-[#6X4:2]-[#7X3:3]-[#7X2:4]=[#7X2,#8X1]                          0
55      t51c    [*:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]               0
56      t51ch   [#1:1]-[#6X4:2]-[#7X3$(*@1-[*]=,:[*][*]=,:[*]@1):3]-[*:4]              0
57      t52     [#6X4:1]-[#6X4:2]-[#7X4,#7X3:3]-[#6X4:4]                               1
58      t54     [#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[*:4]                                 8
59      t55     [#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]                           20
60      t56     [!#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[*:4]                                0
61      t57     [!#1:1]-[#7X4,#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]                          4
62      t58     [*:1]-[#7X4:2]-[#6X3:3]~[*:4]                                          0
63      t59     [*:1]-[#6X4:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]                          4
64      t60     [*:1]-[#6X4:2]-[#7X3$(*~[#8X1]):3]~[#8X1:4]                            4
65      t61     [#6X3:1]-[#7X3:2]-[#6X4:3]-[#6X3:4]                                    0
66      t62     [#6X4:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]=[#8,#16,#7]                        0
67      t63     [#8X2H0:1]-[#6X4:2]-[#7X3:3]-[#6X3:4]                                  1
68      t64     [#6X3:1]-[#7X3:2]-[#6X4;r3:3]-[#6X4;r3:4]                              8
69      t65     [*:1]~[#7X2:2]-[#6X4:3]-[*:4]                                          1
70      t66     [#6X3:1]=[#7X2,#7X3+1:2]-[#6X4:3]-[#1:4]                               0
71      t67     [#6X3:1]=[#7X2,#7X3+1:2]-[#6X4:3]-[#6X3,#6X4:4]                        0
72      t68     [*:1]~[#7X3,#7X2-1:2]-;@[#6X3:3]~[*:4]                                 5
73      t69     [*:1]~[#7X3,#7X2-1:2]-!@[#6X3:3]~[*:4]                                 27
74      t70     [#1:1]-[#7X3:2]-[#6X3:3]=[#8,#16,#7:4]                                 27
75      t71     [*:1]-[#7X3;r5:2]-@[#6X3;r5:3]~[*:4]                                   50
76      t72     [#8X1:1]~[#7X3:2]~[#6X3:3]~[*:4]                                       2
77      t73     [*:1]=[#7X2,#7X3+1:2]-[#6X3:3]-[*:4]                                   1
78      t74     [*:1]=[#7X2,#7X3+1:2]-[#6X3:3]=,:[*:4]                                 5
79      t75     [*:1]~[#7X2,#7X3$(*~[#8X1]):2]:[#6X3:3]~[*:4]                          18
80      t76     [#6X3:1]:[#7X2:2]:[#6X3:3]:[#6X3:4]                                    4
81      t77     [*:1]-,:[#6X3:2]=[#7X2:3]-[*:4]                                        0
82      t78     [*:1]-[#7X3+1:2]=,:[#6X3:3]-,:[*:4]                                    2
83      t79     [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#7X3:4]                           2
84      t80     [#16X4,#16X3+0:1]-[#7X2:2]=[#6X3:3]-[#16X2,#16X3+1:4]                  2
85      t81     [#7X2:1]~[#7X2:2]-[#6X3:3]~[#6X3:4]                                    0
86      t82     [#7X2:1]~[#7X2:2]-[#6X4:3]-[#6X3:4]                                    1
87      t83     [#7X2:1]~[#7X2:2]-[#6X4:3]~[#1:4]                                      4
88      t84     [*:1]-[#6X4:2]-[#8X2:3]-[#1:4]                                         2
89      t85     [#6X4:1]-[#6X4:2]-[#8X2H1:3]-[#1:4]                                    9
90      t86     [*:1]-[#6X4:2]-[#8X2H0:3]-[*:4]                                        3
91      t87     [#6X4:1]-[#6X4:2]-[#8X2H0:3]-[#6X4:4]                                  0
92      t88     [#6X4:1]-[#6X4:2]-[#8X2:3]-[#6X3:4]                                    0
93      t89     [#6X4:1]-[#8X2:2]-[#6X4:3]-[#8X2:4]                                    4
94      t90     [#6X4:1]-[#8X2:2]-[#6X4:3]-[#7X3:4]                                    1
95      t91     [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-@[#6X4;r3:4]                             2
96      t92     [#6X3:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]                                   1
97      t93     [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#1:4]                                     4
98      t94     [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4:4]                                   3
99      t95     [#1:1]-[#8X2:2]-[#6X4;r3:3]-[#6X4;r3:4]                                14
100     t96     [*:1]~[#6X3:2]-[#8X2:3]-[*:4]                                          27
101     t97     [*:1]~[#6X3:2]-[#8X2:3]-[#1:4]                                         4
102     t98     [*:1]~[#6X3:2](=[#8,#16,#7])-[#8X2H0:3]-[*:4]                          6
103     t99     [*:1]~[#6X3:2](=[#8,#16,#7])-[#8:3]-[#1:4]                             3
104     t100    [#1:1]-[#8X2:2]-[#6X3:3]=[#8X1:4]                                      3
105     t101    [#8,#16,#7:1]=[#6X3:2]-[#8X2H0:3]-[#6X4:4]                             3
106     t102    [*:1]-[#8X2:2]@[#6X3:3]~[*:4]                                          7
107     t103    [*:1]-[#8X2+1:2]=[#6X3:3]-[*:4]                                        0
108     t104    [*:1]=[#8X2+1:2]-[#6:3]~[*:4]                                          0
109     t105    [*:1]~[#16:2]=,:[#6:3]~[*:4]                                           0
110     t106    [*:1]-[#16X2,#16X3+1:2]-[#6:3]~[*:4]                                   2
